"def","county","geotypv","geotype","COUNTYFI_1","strata","ind","ind_strt","metric","value","climReg"
"Percent of households with air conditioning","Alameda",6001,"CO","06001","none","ac","ac_none","est",35.6933553,"Bay Area"
"Percent of households with air conditioning","Alpine",6003,"CO","06003","none","ac","ac_none","est",19.4329949,"Southeast Sierra"
"Percent of households with air conditioning","Amador",6005,"CO","06005","none","ac","ac_none","est",98.4472846,"North Sierra"
"Percent of households with air conditioning","Butte",6007,"CO","06007","none","ac","ac_none","est",91.7651185,"Northern Central Valley"
"Percent of households with air conditioning","Calaveras",6009,"CO","06009","none","ac","ac_none","est",80.4600841,"North Sierra"
"Percent of households with air conditioning","Colusa",6011,"CO","06011","none","ac","ac_none","est",100,"Northern Central Valley"
"Percent of households with air conditioning","Contra Costa",6013,"CO","06013","none","ac","ac_none","est",69.6096352,"Bay Area"
"Percent of households with air conditioning","El Dorado",6017,"CO","06017","none","ac","ac_none","est",88.9123954,"North Sierra"
"Percent of households with air conditioning","Fresno",6019,"CO","06019","none","ac","ac_none","est",93.5132618,"Southern Central Valley"
"Percent of households with air conditioning","Glenn",6021,"CO","06021","none","ac","ac_none","est",100,"Northern Central Valley"
"Percent of households with air conditioning","Humboldt",6023,"CO","06023","none","ac","ac_none","est",25.0007152,"North Coast"
"Percent of households with air conditioning","Imperial",6025,"CO","06025","none","ac","ac_none","est",67.9258693,"Desert"
"Percent of households with air conditioning","Inyo",6027,"CO","06027","none","ac","ac_none","est",67.4290138,"Southeast Sierra"
"Percent of households with air conditioning","Kern",6029,"CO","06029","none","ac","ac_none","est",89.478352,"Southern Central Valley"
"Percent of households with air conditioning","Kings",6031,"CO","06031","none","ac","ac_none","est",87.1491388,"Southern Central Valley"
"Percent of households with air conditioning","Lake",6033,"CO","06033","none","ac","ac_none","est",63.2987643,"North Coast"
"Percent of households with air conditioning","Lassen",6035,"CO","06035","none","ac","ac_none","est",47.1913987,"North"
"Percent of households with air conditioning","Los Angeles",6037,"CO","06037","none","ac","ac_none","est",66.1091126,"South Coast"
"Percent of households with air conditioning","Madera",6039,"CO","06039","none","ac","ac_none","est",88.8984334,"Northern Central Valley"
"Percent of households with air conditioning","Marin",6041,"CO","06041","none","ac","ac_none","est",27.3895909,"Bay Area"
"Percent of households with air conditioning","Mariposa",6043,"CO","06043","none","ac","ac_none","est",75.8465056,"North Sierra"
"Percent of households with air conditioning","Mendocino",6045,"CO","06045","none","ac","ac_none","est",40.6013349,"North Coast"
"Percent of households with air conditioning","Merced",6047,"CO","06047","none","ac","ac_none","est",97.1303184,"Northern Central Valley"
"Percent of households with air conditioning","Mono",6051,"CO","06051","none","ac","ac_none","est",53.4419136,"Southeast Sierra"
"Percent of households with air conditioning","Monterey",6053,"CO","06053","none","ac","ac_none","est",14.0929944,"Central Coast"
